Target_Status,Target_Plant,Target_Group,Target_Class,Target_Storage_Loc,Target_Mat_Grp,Target_MRP_Type,Target_Qty,Target_Weight,Target_Cost,Target_Safety_Stock,Target_Volume,Target_Ref_ID,Target_Description,Target_Batch_Id
10,PLANT_NY,GRP_A,CLASS_3,SL_001,MG_CH,ND,80,42,515,16,93,REF-56385_LEG,Item_Desc_315 [MIG],B255-2024
99,PLANT_NY,GRP_C,CLASS_3,SL_OBS,MG_CH,VB,80,25,304,13,7,REF-27088_LEG,Item_Desc_926 [MIG],B860-2024
20,PLANT_TX,GRP_A,CLASS_2,SL_003,MG_EL,ND,20,29,516,14,65,REF-73224_LEG,Item_Desc_272 [MIG],B408-2024
10,PLANT_TX,GRP_A,CLASS_1,SL_001,MG_ME,VB,26,38,215,18,75,REF-46294_LEG,Item_Desc_416 [MIG],B591-2024
20,PLANT_NY,GRP_C,CLASS_3,SL_OBS,MG_EL,VB,84,47,246,20,35,REF-41344_LEG,Item_Desc_745 [MIG],B404-2024
99,PLANT_NY,GRP_B,CLASS_1,SL_001,MG_ME,VB,4,16,189,26,89,REF-36928_LEG,Item_Desc_318 [MIG],B777-2024
10,PLANT_NY,GRP_B,CLASS_1,SL_OBS,MG_CH,ND,30,25,559,29,87,REF-60913_LEG,Item_Desc_373 [MIG],B207-2024
99,PLANT_TX,GRP_A,CLASS_1,SL_002,MG_EL,VB,1,44,181,22,31,REF-64932_LEG,Item_Desc_578 [MIG],B235-2024
20,PLANT_NY,GRP_C,CLASS_3,SL_002,MG_ME,ND,43,54,294,16,34,REF-15928_LEG,Item_Desc_321 [MIG],B518-2024
10,PLANT_CA,GRP_A,CLASS_3,SL_002,MG_ME,VB,45,34,594,16,83,REF-79909_LEG,Item_Desc_362 [MIG],B941-2024
10,PLANT_NY,GRP_C,CLASS_2,SL_003,MG_CH,PD,41,47,378,20,26,REF-65503_LEG,Item_Desc_233 [MIG],B778-2024
10,PLANT_CA,GRP_B,CLASS_2,SL_002,MG_ME,ND,30,21,508,19,62,REF-65339_LEG,Item_Desc_61 [MIG],B655-2024
99,PLANT_NY,GRP_C,CLASS_3,SL_001,MG_EL,PD,91,20,481,27,35,REF-40784_LEG,Item_Desc_306 [MIG],B626-2024
20,PLANT_TX,GRP_A,CLASS_1,SL_OBS,MG_CH,VB,53,42,197,26,96,REF-37932_LEG,Item_Desc_336 [MIG],B430-2024
20,PLANT_NY,GRP_C,CLASS_3,SL_001,MG_CH,VB,89,27,239,18,59,REF-75224_LEG,Item_Desc_200 [MIG],B312-2024
20,PLANT_NY,GRP_A,CLASS_3,SL_001,MG_ME,VB,89,15,314,22,90,REF-94222_LEG,Item_Desc_92 [MIG],B555-2024
99,PLANT_NY,GRP_B,CLASS_3,SL_002,MG_CH,PD,18,53,168,22,76,REF-32695_LEG,Item_Desc_195 [MIG],B901-2024
99,PLANT_CA,GRP_B,CLASS_2,SL_002,MG_CH,PD,89,25,312,29,46,REF-77518_LEG,Item_Desc_757 [MIG],B452-2024
20,PLANT_NY,GRP_A,CLASS_1,SL_OBS,MG_EL,PD,6,17,591,13,69,REF-87023_LEG,Item_Desc_467 [MIG],B573-2024
20,PLANT_NY,GRP_C,CLASS_3,SL_003,MG_CH,PD,11,26,545,26,22,REF-89852_LEG,Item_Desc_956 [MIG],B903-2024
20,PLANT_CA,GRP_B,CLASS_1,SL_OBS,MG_EL,ND,13,40,213,11,40,REF-29967_LEG,Item_Desc_36 [MIG],B128-2024
10,PLANT_NY,GRP_C,CLASS_2,SL_001,MG_CH,PD,48,19,353,22,102,REF-97816_LEG,Item_Desc_470 [MIG],B108-2024
10,PLANT_NY,GRP_A,CLASS_2,SL_003,MG_ME,ND,82,25,582,19,91,REF-25187_LEG,Item_Desc_690 [MIG],B824-2024
20,PLANT_CA,GRP_C,CLASS_1,SL_001,MG_EL,VB,75,53,448,19,8,REF-32204_LEG,Item_Desc_312 [MIG],B299-2024
20,PLANT_CA,GRP_B,CLASS_2,SL_002,MG_CH,PD,79,17,180,11,68,REF-31977_LEG,Item_Desc_205 [MIG],B741-2024
20,PLANT_TX,GRP_C,CLASS_2,SL_001,MG_EL,ND,71,50,185,23,70,REF-13146_LEG,Item_Desc_867 [MIG],B688-2024
10,PLANT_TX,GRP_B,CLASS_1,SL_002,MG_CH,VB,9,24,553,12,39,REF-63559_LEG,Item_Desc_602 [MIG],B619-2024
10,PLANT_CA,GRP_B,CLASS_1,SL_003,MG_CH,ND,74,39,265,22,101,REF-76310_LEG,Item_Desc_736 [MIG],B284-2024
20,PLANT_CA,GRP_C,CLASS_2,SL_OBS,MG_CH,PD,19,44,258,29,75,REF-72039_LEG,Item_Desc_344 [MIG],B651-2024
20,PLANT_NY,GRP_B,CLASS_2,SL_OBS,MG_CH,VB,71,38,358,16,40,REF-90573_LEG,Item_Desc_85 [MIG],B607-2024
20,PLANT_NY,GRP_A,CLASS_3,SL_002,MG_ME,VB,77,20,599,22,75,REF-87738_LEG,Item_Desc_642 [MIG],B503-2024
20,PLANT_NY,GRP_C,CLASS_3,SL_OBS,MG_EL,VB,89,29,191,12,83,REF-88193_LEG,Item_Desc_54 [MIG],B453-2024
99,PLANT_NY,GRP_B,CLASS_3,SL_002,MG_ME,ND,9,46,205,13,9,REF-12221_LEG,Item_Desc_711 [MIG],B876-2024
99,PLANT_NY,GRP_C,CLASS_1,SL_002,MG_EL,PD,10,19,307,11,28,REF-69285_LEG,Item_Desc_975 [MIG],B105-2024
99,PLANT_CA,GRP_C,CLASS_3,SL_003,MG_CH,VB,64,24,157,28,70,REF-63029_LEG,Item_Desc_401 [MIG],B777-2024
99,PLANT_NY,GRP_C,CLASS_2,SL_OBS,MG_EL,VB,99,40,265,16,34,REF-77896_LEG,Item_Desc_646 [MIG],B367-2024
20,PLANT_CA,GRP_A,CLASS_1,SL_001,MG_EL,VB,51,16,220,13,21,REF-45676_LEG,Item_Desc_853 [MIG],B301-2024
20,PLANT_CA,GRP_A,CLASS_1,SL_003,MG_ME,VB,24,35,426,15,101,REF-79553_LEG,Item_Desc_1,B497-2024
10,PLANT_CA,GRP_B,CLASS_1,SL_001,MG_EL,PD,17,28,167,16,65,REF-67102_LEG,Item_Desc_501 [MIG],B374-2024
99,PLANT_TX,GRP_A,CLASS_2,SL_001,MG_ME,PD,9,26,278,16,39,REF-57286_LEG,Item_Desc_975 [MIG],B265-2024
10,PLANT_CA,GRP_B,CLASS_3,SL_003,MG_EL,ND,2,39,427,15,29,REF-79674_LEG,Item_Desc_617 [MIG],B204-2024
20,PLANT_NY,GRP_A,CLASS_1,SL_OBS,MG_ME,VB,54,26,256,26,43,REF-44936_LEG,Item_Desc_592 [MIG],B687-2024
99,PLANT_CA,GRP_A,CLASS_2,SL_002,MG_ME,VB,81,44,427,13,14,REF-38077_LEG,Item_Desc_230 [MIG],B957-2024
20,PLANT_TX,GRP_A,CLASS_2,SL_OBS,MG_ME,PD,12,53,191,27,89,REF-58421_LEG,Item_Desc_487 [MIG],B445-2024
20,PLANT_NY,GRP_C,CLASS_2,SL_001,MG_ME,PD,41,30,275,29,70,REF-15428_LEG,Item_Desc_479 [MIG],B778-2024
99,PLANT_TX,GRP_A,CLASS_1,SL_OBS,MG_ME,VB,87,37,431,22,87,REF-51831_LEG,Item_Desc_845 [MIG],B975-2024
99,PLANT_NY,GRP_B,CLASS_2,SL_002,MG_ME,ND,80,54,314,18,33,REF-39336_LEG,Item_Desc_338 [MIG],B925-2024
10,PLANT_NY,GRP_C,CLASS_1,SL_OBS,MG_ME,ND,74,16,516,20,78,REF-20105_LEG,Item_Desc_338 [MIG],B283-2024
20,PLANT_CA,GRP_A,CLASS_3,SL_003,MG_CH,PD,46,28,502,18,48,REF-84088_LEG,Item_Desc_477 [MIG],B622-2024
0,PLANT_CA,GRP_A,CLASS_3,SL_001,MG_CH,PD,4,18,220,14,36,REF-69451_LEG,Item_Desc_216 [MIG],B385-2024
20,PLANT_TX,GRP_C,CLASS_3,SL_OBS,MG_ME,ND,16,18,284,30,47,REF-80540_LEG,Item_Desc_485 [MIG],B178-2024
10,PLANT_CA,GRP_B,CLASS_2,SL_003,MG_ME,VB,36,26,254,13,42,REF-14755_LEG,Item_Desc_752 [MIG],B555-2024
20,PLANT_TX,GRP_C,CLASS_3,SL_001,MG_CH,VB,89,46,478,19,66,REF-98007_LEG,Item_Desc_114 [MIG],B956-2024
10,PLANT_TX,GRP_A,CLASS_1,SL_002,MG_EL,ND,62,46,312,16,96,REF-69365_LEG,Item_Desc_859 [MIG],B642-2024
99,PLANT_TX,GRP_B,CLASS_1,SL_003,MG_ME,VB,68,27,559,25,45,REF-63295_LEG,Item_Desc_585 [MIG],B198-2024
99,PLANT_CA,GRP_A,CLASS_2,SL_003,MG_ME,ND,91,30,363,17,21,REF-16131_LEG,Item_Desc_778 [MIG],B422-2024
99,PLANT_CA,GRP_C,CLASS_3,SL_002,MG_CH,VB,14,53,420,24,44,REF-87109_LEG,Item_Desc_378 [MIG],B775-2024
99,PLANT_CA,GRP_B,CLASS_2,SL_OBS,MG_ME,ND,62,32,151,24,53,REF-63859_LEG,Item_Desc_132 [MIG],B785-2024
10,PLANT_CA,GRP_C,CLASS_3,SL_OBS,MG_ME,VB,11,39,491,24,54,REF-76916_LEG,Item_Desc_930 [MIG],B626-2024
10,PLANT_CA,GRP_B,CLASS_2,SL_002,MG_ME,VB,54,54,216,14,72,REF-81556_LEG,Item_Desc_924 [MIG],B249-2024
10,PLANT_CA,GRP_B,CLASS_3,SL_OBS,MG_CH,VB,85,45,186,12,29,REF-23333_LEG,Item_Desc_323 [MIG],B728-2024
99,PLANT_NY,GRP_C,CLASS_2,SL_OBS,MG_EL,VB,55,39,151,11,67,REF-79188_LEG,Item_Desc_692 [MIG],B182-2024
99,PLANT_TX,GRP_B,CLASS_1,SL_OBS,MG_EL,PD,55,39,218,15,15,REF-78427_LEG,Item_Desc_795 [MIG],B906-2024
10,PLANT_TX,GRP_C,CLASS_2,SL_001,MG_CH,VB,76,37,322,12,35,REF-16896_LEG,Item_Desc_631 [MIG],B536-2024
10,PLANT_TX,GRP_C,CLASS_1,SL_003,MG_ME,ND,53,48,312,20,94,REF-16649_LEG,Item_Desc_487 [MIG],B618-2024
99,PLANT_CA,GRP_B,CLASS_1,SL_003,MG_EL,ND,92,40,283,23,85,REF-85267_LEG,Item_Desc_89 [MIG],B538-2024
20,PLANT_NY,GRP_A,CLASS_1,SL_001,MG_EL,VB,31,36,248,12,12,REF-50174_LEG,Item_Desc_861 [MIG],B611-2024
99,PLANT_CA,GRP_C,CLASS_1,SL_003,MG_ME,VB,25,37,474,24,65,REF-56475_LEG,Item_Desc_466 [MIG],B933-2024
99,PLANT_TX,GRP_C,CLASS_3,SL_001,MG_EL,PD,70,46,418,27,89,REF-49944_LEG,Item_Desc_283 [MIG],B650-2024
99,PLANT_NY,GRP_C,CLASS_2,SL_OBS,MG_ME,PD,31,31,257,23,21,REF-41083_LEG,Item_Desc_348 [MIG],B698-2024
20,PLANT_NY,GRP_C,CLASS_2,SL_002,MG_CH,VB,44,55,167,29,21,REF-34695_LEG,Item_Desc_178 [MIG],B678-2024
20,PLANT_CA,GRP_B,CLASS_1,SL_002,MG_CH,ND,44,47,201,21,81,REF-18255_LEG,Item_Desc_644 [MIG],B268-2024
10,PLANT_CA,GRP_A,CLASS_3,SL_002,MG_EL,ND,18,17,494,13,72,REF-75995_LEG,Item_Desc_246 [MIG],B239-2024
99,PLANT_NY,GRP_B,CLASS_3,SL_002,MG_ME,VB,62,29,479,20,67,REF-91049_LEG,Item_Desc_539 [MIG],B416-2024
20,PLANT_TX,GRP_C,CLASS_1,SL_003,MG_EL,ND,1,15,157,14,10,REF-56209_LEG,Item_Desc_530 [MIG],B543-2024
99,PLANT_NY,GRP_C,CLASS_1,SL_002,MG_ME,PD,47,38,320,29,102,REF-46298_LEG,Item_Desc_417 [MIG],B108-2024
99,PLANT_TX,GRP_B,CLASS_1,SL_OBS,MG_CH,PD,37,30,511,20,48,REF-88330_LEG,Item_Desc_145 [MIG],B504-2024
10,PLANT_NY,GRP_C,CLASS_2,SL_001,MG_EL,VB,88,18,288,18,35,REF-37557_LEG,Item_Desc_979 [MIG],B158-2024
20,PLANT_TX,GRP_B,CLASS_2,SL_002,MG_EL,PD,98,55,150,15,96,REF-86109_LEG,Item_Desc_282 [MIG],B696-2024
10,PLANT_TX,GRP_B,CLASS_2,SL_001,MG_ME,PD,4,24,521,12,17,REF-74178_LEG,Item_Desc_94 [MIG],B500-2024
10,PLANT_NY,GRP_C,CLASS_2,SL_002,MG_EL,ND,24,41,464,28,45,REF-17962_LEG,Item_Desc_755 [MIG],B244-2024
10,PLANT_TX,GRP_C,CLASS_3,SL_002,MG_EL,ND,4,44,234,23,16,REF-18815_LEG,Item_Desc_437 [MIG],B576-2024
10,PLANT_CA,GRP_B,CLASS_2,SL_001,MG_ME,VB,57,31,498,11,56,REF-13707_LEG,Item_Desc_173 [MIG],B273-2024
99,PLANT_NY,GRP_C,CLASS_2,SL_OBS,MG_CH,ND,32,39,352,13,56,REF-48967_LEG,Item_Desc_744 [MIG],B164-2024
20,PLANT_NY,GRP_C,CLASS_3,SL_001,MG_CH,ND,3,15,515,24,22,REF-32648_LEG,Item_Desc_422 [MIG],B192-2024
0,PLANT_TX,GRP_B,CLASS_2,SL_003,MG_CH,VB,57,54,300,29,36,REF-56652_LEG,Item_Desc_848 [MIG],B162-2024
99,PLANT_CA,GRP_C,CLASS_1,SL_002,MG_CH,PD,54,46,450,30,74,REF-17879_LEG,Item_Desc_40 [MIG],B139-2024
20,PLANT_TX,GRP_C,CLASS_3,SL_002,MG_EL,ND,65,51,307,10,97,REF-41915_LEG,Item_Desc_188 [MIG],B503-2024
99,PLANT_CA,GRP_C,CLASS_2,SL_003,MG_CH,PD,72,20,270,13,34,REF-72860_LEG,Item_Desc_889 [MIG],B800-2024
20,PLANT_CA,GRP_A,CLASS_2,SL_003,MG_ME,PD,60,29,537,28,17,REF-20311_LEG,Item_Desc_545 [MIG],B484-2024
10,PLANT_TX,GRP_A,CLASS_3,SL_002,MG_EL,PD,10,46,536,14,64,REF-62554_LEG,Item_Desc_364 [MIG],B459-2024
99,PLANT_TX,GRP_A,CLASS_3,SL_002,MG_ME,VB,4,49,484,28,21,REF-17661_LEG,Item_Desc_82 [MIG],B395-2024
10,PLANT_NY,GRP_A,CLASS_2,SL_OBS,MG_ME,PD,59,43,386,20,81,REF-45159_LEG,Item_Desc_719 [MIG],B934-2024
99,PLANT_NY,GRP_A,CLASS_3,SL_001,MG_EL,VB,50,43,220,18,30,REF-88226_LEG,Item_Desc_140 [MIG],B384-2024
20,PLANT_TX,GRP_C,CLASS_2,SL_001,MG_ME,VB,47,40,516,15,9,REF-22772_LEG,Item_Desc_828 [MIG],B441-2024
99,PLANT_CA,GRP_A,CLASS_3,SL_001,MG_EL,VB,91,32,428,22,45,REF-52569_LEG,Item_Desc_775 [MIG],B948-2024
99,PLANT_TX,GRP_C,CLASS_3,ERROR_LOC,MG_EL,PD,52,31,544,16,63,REF-29596_LEG,Item_Desc_254 [MIG],B751-2024
10,PLANT_TX,GRP_B,CLASS_2,SL_001,MG_CH,PD,97,32,299,15,66,REF-42230_LEG,Item_Desc_887 [MIG],B112-2024
99,PLANT_NY,GRP_B,CLASS_1,SL_OBS,MG_ME,ND,23,49,272,12,56,REF-22599_LEG,Item_Desc_412 [MIG],B923-2024
99,PLANT_TX,GRP_B,CLASS_1,SL_002,MG_ME,PD,8,33,575,21,93,REF-11903_LEG,Item_Desc_936 [MIG],B496-2024
99,PLANT_CA,GRP_B,CLASS_2,SL_002,MG_CH,VB,84,32,331,23,18,REF-88988_LEG,Item_Desc_425 [MIG],B675-2024
99,PLANT_NY,GRP_B,CLASS_1,SL_002,MG_ME,ND,77,28,547,15,102,REF-41113_LEG,Item_Desc_168 [MIG],B668-2024
99,PLANT_TX,GRP_A,CLASS_1,SL_001,MG_EL,VB,32,54,200,17,96,REF-27399_LEG,Item_Desc_958 [MIG],B693-2024
10,PLANT_NY,GRP_C,CLASS_2,SL_003,MG_ME,ND,57,34,184,12,96,REF-48587_LEG,Item_Desc_872 [MIG],B707-2024
10,PLANT_CA,GRP_A,CLASS_1,SL_OBS,MG_ME,VB,43,35,591,16,102,REF-69724_LEG,Item_Desc_68 [MIG],B370-2024
99,PLANT_CA,GRP_C,CLASS_1,SL_002,MG_ME,ND,55,35,353,22,59,REF-30334_LEG,Item_Desc_357,B932-2024
20,PLANT_CA,GRP_C,CLASS_2,SL_001,MG_EL,ND,49,49,493,23,78,REF-54356_LEG,Item_Desc_984 [MIG],B253-2024
99,PLANT_CA,GRP_B,CLASS_1,SL_001,MG_ME,VB,34,35,565,24,24,REF-27942_LEG,Item_Desc_191 [MIG],B616-2024
20,PLANT_TX,GRP_C,CLASS_3,SL_OBS,MG_CH,VB,16,49,598,29,35,REF-48626_LEG,Item_Desc_560 [MIG],B396-2024
20,PLANT_CA,GRP_C,CLASS_3,SL_OBS,MG_CH,VB,58,26,226,24,66,REF-53990_LEG,Item_Desc_904 [MIG],B986-2024
99,PLANT_TX,GRP_A,CLASS_1,SL_003,MG_EL,PD,14,52,500,20,26,REF-77559_LEG,Item_Desc_38 [MIG],B440-2024
99,PLANT_NY,GRP_B,CLASS_3,SL_003,MG_CH,PD,87,30,282,10,12,REF-27711_LEG,Item_Desc_456 [MIG],B635-2024
99,PLANT_CA,GRP_B,CLASS_3,SL_002,MG_CH,PD,24,51,435,25,47,REF-90402_LEG,Item_Desc_602 [MIG],B487-2024
10,PLANT_TX,GRP_A,CLASS_1,SL_002,MG_CH,ND,82,35,568,19,46,REF-66891_LEG,Item_Desc_75 [MIG],B525-2024
20,PLANT_NY,GRP_B,CLASS_2,SL_001,MG_ME,PD,63,46,439,26,47,REF-86575_LEG,Item_Desc_435 [MIG],B504-2024
99,PLANT_NY,GRP_B,CLASS_3,SL_003,MG_EL,VB,73,18,434,12,50,REF-49352_LEG,Item_Desc_979 [MIG],B504-2024
99,PLANT_CA,GRP_A,CLASS_3,SL_002,MG_EL,ND,48,20,176,20,71,REF-30322_LEG,Item_Desc_92 [MIG],B662-2024
10,PLANT_NY,GRP_A,CLASS_1,SL_OBS,MG_CH,PD,22,32,245,16,65,REF-87877_LEG,Item_Desc_791 [MIG],B201-2024
20,PLANT_NY,GRP_B,CLASS_1,SL_002,MG_ME,VB,16,36,419,15,58,REF-63780_LEG,Item_Desc_549 [MIG],B829-2024
99,PLANT_CA,GRP_A,CLASS_2,SL_003,MG_ME,ND,41,38,184,12,69,REF-51447_LEG,Item_Desc_519 [MIG],B300-2024
99,PLANT_CA,GRP_C,CLASS_1,SL_001,MG_CH,ND,74,52,277,30,86,REF-43804_LEG,Item_Desc_286 [MIG],B601-2024
10,PLANT_TX,GRP_C,CLASS_2,SL_001,MG_CH,ND,83,36,210,13,17,REF-40629_LEG,Item_Desc_163 [MIG],B797-2024
10,PLANT_NY,GRP_B,CLASS_1,SL_002,MG_ME,ND,82,39,480,25,23,REF-34909_LEG,Item_Desc_805 [MIG],B641-2024
10,PLANT_NY,GRP_B,CLASS_3,SL_002,MG_ME,ND,60,46,432,11,37,REF-56569_LEG,Item_Desc_500 [MIG],B921-2024
10,PLANT_CA,GRP_B,CLASS_1,SL_OBS,MG_EL,VB,46,18,539,17,21,REF-15505_LEG,Item_Desc_812 [MIG],B659-2024
99,PLANT_NY,GRP_A,CLASS_3,SL_003,MG_ME,VB,47,34,362,28,16,REF-37040_LEG,Item_Desc_824 [MIG],B384-2024
20,PLANT_TX,GRP_C,CLASS_2,SL_003,MG_CH,PD,55,24,449,23,13,REF-66620_LEG,Item_Desc_982 [MIG],B745-2024
99,PLANT_NY,GRP_B,CLASS_1,SL_001,MG_EL,PD,50,47,529,16,69,REF-38843_LEG,Item_Desc_559 [MIG],B186-2024
10,PLANT_TX,GRP_A,CLASS_1,SL_001,MG_CH,VB,71,30,577,21,80,REF-93591_LEG,Item_Desc_478 [MIG],B509-2024
10,PLANT_CA,GRP_C,CLASS_2,ERROR_LOC,MG_EL,VB,82,26,273,28,71,REF-19310_LEG,Item_Desc_747 [MIG],B846-2024
10,PLANT_NY,GRP_C,CLASS_3,SL_001,MG_EL,VB,63,24,589,29,62,REF-13220_LEG,Item_Desc_65 [MIG],B952-2024
10,PLANT_NY,GRP_A,CLASS_1,SL_002,MG_CH,PD,1,45,187,22,50,REF-10346,Item_Desc_34 [MIG],B301-2024
99,PLANT_TX,GRP_B,CLASS_2,SL_001,MG_ME,VB,85,15,402,13,39,REF-48480_LEG,Item_Desc_957 [MIG],B833-2024
99,PLANT_NY,GRP_B,CLASS_1,SL_002,MG_EL,ND,73,43,597,26,75,REF-64513_LEG,Item_Desc_407 [MIG],B235-2024
20,PLANT_CA,GRP_C,CLASS_3,SL_OBS,MG_CH,VB,6,40,470,26,23,REF-54859_LEG,Item_Desc_687 [MIG],B413-2024
99,PLANT_TX,GRP_A,CLASS_2,SL_002,MG_ME,ND,92,29,175,19,90,REF-48346_LEG,Item_Desc_881 [MIG],B523-2024
99,PLANT_TX,GRP_C,CLASS_3,SL_OBS,MG_ME,VB,61,30,543,27,9,REF-17949_LEG,Item_Desc_940 [MIG],B630-2024
99,PLANT_CA,GRP_A,CLASS_3,SL_001,MG_EL,ND,40,47,336,17,56,REF-63519_LEG,Item_Desc_340 [MIG],B680-2024
99,PLANT_TX,GRP_C,CLASS_1,SL_002,MG_ME,VB,100,16,243,24,95,REF-75313,Item_Desc_115 [MIG],B101-2024
20,PLANT_CA,GRP_C,CLASS_3,SL_002,MG_EL,ND,96,44,153,23,94,REF-77553_LEG,Item_Desc_509 [MIG],B117-2024
20,PLANT_CA,GRP_A,CLASS_1,SL_001,MG_EL,PD,2,20,527,22,69,REF-98721_LEG,Item_Desc_910 [MIG],B600-2024
10,PLANT_CA,GRP_B,CLASS_2,SL_002,MG_CH,VB,100,45,504,10,61,REF-95755_LEG,Item_Desc_197 [MIG],B459-2024
99,PLANT_NY,GRP_C,CLASS_3,SL_001,MG_ME,PD,97,52,537,22,90,REF-30421_LEG,Item_Desc_362 [MIG],B578-2024
99,PLANT_CA,GRP_A,CLASS_3,SL_001,MG_CH,VB,53,24,444,29,75,REF-71209_LEG,Item_Desc_513 [MIG],B407-2024
10,PLANT_NY,GRP_A,CLASS_3,SL_003,MG_ME,ND,16,43,277,10,60,REF-44810_LEG,Item_Desc_306 [MIG],B369-2024
20,PLANT_NY,GRP_A,CLASS_2,SL_002,MG_ME,PD,5,35,256,12,36,REF-89395_LEG,Item_Desc_40 [MIG],B439-2024
20,PLANT_TX,GRP_C,CLASS_2,SL_002,MG_ME,VB,78,33,186,23,27,REF-56678_LEG,Item_Desc_306,B520-2024
