Legacy_Ref_ID,Legacy_Qty,Legacy_Weight,Legacy_Cost,Legacy_Safety_Stock,Legacy_Volume,Legacy_Description,Legacy_Batch,Legacy_Status,Legacy_Region,Legacy_Type,Legacy_Priority,Legacy_Warehouse_Code,Legacy_Material_Group,Legacy_Lifecycle
REF-26307,73,36,310,10,90,Item_Desc_948,B159,Closed,West,Finished,Low,WH03,Mech,New
REF-80021,76,27,219,20,52,Item_Desc_439,B953,Active,South,Raw,Medium,WH03,Elec,Mature
REF-75230,1,37,386,19,10,Item_Desc_529,B235,Hold,West,Finished,Medium,WH01,Elec,Mature
REF-76573,97,11,216,9,47,Item_Desc_148,B978,Hold,South,Raw,Medium,WH01,Chem,New
REF-39552,90,35,120,4,62,Item_Desc_290,B813,Closed,North,Service,High,WH02,Elec,Mature
REF-43836,43,41,118,18,49,Item_Desc_882,B695,Active,South,Finished,High,WH03,Mech,New
REF-21336,17,32,174,4,9,Item_Desc_538,B829,Closed,West,Service,Low,WH03,Chem,New
REF-56385,80,37,415,6,91,Item_Desc_315,B255,Active,North,Raw,Low,WH01,Chem,New
REF-27088,80,20,204,3,5,Item_Desc_926,B860,Closed,North,Service,Low,WH99,Chem,EndOL
REF-73224,20,24,416,4,63,Item_Desc_272,B408,Hold,South,Raw,Medium,WH03,Elec,New
REF-46294,26,33,115,8,73,Item_Desc_416,B591,Active,South,Raw,High,WH01,Mech,EndOL
REF-41344,84,42,146,10,33,Item_Desc_745,B404,Hold,North,Service,Low,WH99,Elec,EndOL
REF-36928,4,11,89,16,87,Item_Desc_318,B777,Closed,North,Finished,High,WH01,Mech,EndOL
REF-60913,30,20,459,19,85,Item_Desc_373,B207,Active,North,Finished,High,WH99,Chem,New
REF-64932,1,39,81,12,29,Item_Desc_578,B235,Closed,South,Raw,High,WH02,Elec,EndOL
REF-15928,43,49,194,6,32,Item_Desc_321,B518,Hold,North,Service,Low,WH02,Mech,New
REF-79909,45,29,494,6,81,Item_Desc_362,B941,Active,West,Raw,Low,WH02,Mech,EndOL
REF-65503,41,42,278,10,24,Item_Desc_233,B778,Active,North,Service,Medium,WH03,Chem,Mature
REF-65339,30,16,408,9,60,Item_Desc_61,B655,Active,West,Finished,Medium,WH02,Mech,New
REF-40784,91,15,381,17,33,Item_Desc_306,B626,Closed,North,Service,Low,WH01,Elec,Mature
REF-37932,53,37,97,16,94,Item_Desc_336,B430,Hold,South,Raw,High,WH99,Chem,EndOL
REF-75224,89,22,139,8,57,Item_Desc_200,B312,Hold,North,Service,Low,WH01,Chem,EndOL
REF-94222,89,10,214,12,88,Item_Desc_92,B555,Hold,North,Raw,Low,WH01,Mech,EndOL
REF-32695,18,48,68,12,74,Item_Desc_195,B901,Closed,North,Finished,Low,WH02,Chem,Mature
REF-77518,89,20,212,19,44,Item_Desc_757,B452,Closed,West,Finished,Medium,WH02,Chem,Mature
REF-87023,6,17,491,3,67,Item_Desc_467,B573,Hold,North,Raw,High,WH99,Elec,Mature
REF-89852,11,21,445,16,20,Item_Desc_956,B903,Hold,North,Service,Low,WH03,Chem,Mature
REF-29967,13,35,113,1,38,Item_Desc_36,B128,Hold,West,Finished,High,WH99,Elec,New
REF-97816,48,19,253,12,100,Item_Desc_470,B108,Active,North,Service,Medium,WH01,Chem,Mature
REF-25187,82,20,482,9,89,Item_Desc_690,B824,Active,North,Raw,Medium,WH03,Mech,New
REF-32204,75,48,348,9,6,Item_Desc_312,B299,Hold,West,Service,High,WH01,Elec,EndOL
REF-31977,79,12,80,1,66,Item_Desc_205,B741,Hold,West,Finished,Medium,WH02,Chem,Mature
REF-13146,71,45,85,13,68,Item_Desc_867,B688,Hold,South,Service,Medium,WH01,Elec,New
REF-63559,9,19,453,2,37,Item_Desc_602,B619,Active,South,Finished,High,WH02,Chem,EndOL
REF-76310,74,34,165,12,99,Item_Desc_736,B284,Active,West,Finished,High,WH03,Chem,New
REF-72039,19,39,158,19,73,Item_Desc_344,B651,Hold,West,Service,Medium,WH99,Chem,Mature
REF-90573,71,33,258,6,38,Item_Desc_85,B607,Hold,North,Finished,Medium,WH99,Chem,EndOL
REF-87738,77,15,499,12,73,Item_Desc_642,B503,Hold,North,Raw,Low,WH02,Mech,EndOL
REF-88193,89,24,91,2,81,Item_Desc_54,B453,Hold,North,Service,Low,WH99,Elec,EndOL
REF-12221,9,41,105,3,7,Item_Desc_711,B876,Closed,North,Finished,Low,WH02,Mech,New
REF-69285,10,14,207,1,26,Item_Desc_975,B105,Closed,North,Service,High,WH02,Elec,Mature
REF-63029,64,24,57,18,68,Item_Desc_401,B777,Closed,West,Service,Low,WH03,Chem,EndOL
REF-77896,99,35,165,6,32,Item_Desc_646,B367,Closed,North,Service,Medium,WH99,Elec,EndOL
REF-45676,51,11,120,3,19,Item_Desc_853,B301,Hold,West,Raw,High,WH01,Elec,EndOL
REF-79553,24,30,326,5,99,Item_Desc_1,B497,Hold,West,Raw,High,WH03,Mech,EndOL
REF-67102,17,23,67,6,63,Item_Desc_501,B374,Active,West,Finished,High,WH01,Elec,Mature
REF-57286,9,21,178,6,37,Item_Desc_975,B265,Closed,South,Raw,Medium,WH01,Mech,Mature
REF-79674,2,34,327,5,27,Item_Desc_617,B204,Active,West,Finished,Low,WH03,Elec,New
REF-44936,54,21,156,16,41,Item_Desc_592,B687,Hold,North,Raw,High,WH99,Mech,EndOL
REF-38077,81,39,327,3,12,Item_Desc_230,B957,Closed,West,Raw,Medium,WH02,Mech,EndOL
REF-58421,12,48,91,17,87,Item_Desc_487,B445,Hold,South,Raw,Medium,WH99,Mech,Mature
REF-15428,41,25,175,19,68,Item_Desc_479,B778,Hold,North,Service,Medium,WH01,Mech,Mature
REF-51831,87,32,331,12,85,Item_Desc_845,B975,Closed,South,Raw,High,WH99,Mech,EndOL
REF-39336,80,49,214,8,31,Item_Desc_338,B925,Closed,North,Finished,Medium,WH02,Mech,New
REF-20105,74,11,416,10,76,Item_Desc_338,B283,Active,North,Service,High,WH99,Mech,New
REF-84088,46,23,402,8,46,Item_Desc_477,B622,Hold,West,Raw,Low,WH03,Chem,Mature
REF-69451,4,13,120,4,34,Item_Desc_216,B385,Active,West,Raw,Low,WH01,Chem,Mature
REF-80540,16,13,184,20,45,Item_Desc_485,B178,Hold,South,Service,Low,WH99,Mech,New
REF-14755,36,21,154,3,40,Item_Desc_752,B555,Active,West,Finished,Medium,WH03,Mech,EndOL
REF-98007,89,41,378,9,64,Item_Desc_114,B956,Hold,South,Service,Low,WH01,Chem,EndOL
REF-69365,62,41,212,6,94,Item_Desc_859,B642,Active,South,Raw,High,WH02,Elec,New
REF-63295,68,22,459,15,43,Item_Desc_585,B198,Closed,South,Finished,High,WH03,Mech,EndOL
REF-16131,91,25,263,7,19,Item_Desc_778,B422,Closed,West,Raw,Medium,WH03,Mech,New
REF-87109,14,48,320,14,42,Item_Desc_378,B775,Closed,West,Service,Low,WH02,Chem,EndOL
REF-63859,62,27,51,14,51,Item_Desc_132,B785,Closed,West,Finished,Medium,WH99,Mech,New
REF-76916,11,34,391,14,52,Item_Desc_930,B626,Active,West,Service,Low,WH99,Mech,EndOL
REF-81556,54,49,116,4,70,Item_Desc_924,B249,Active,West,Finished,Medium,WH02,Mech,EndOL
REF-23333,85,40,86,2,27,Item_Desc_323,B728,Active,West,Finished,Low,WH99,Chem,EndOL
REF-79188,55,34,51,1,65,Item_Desc_692,B182,Closed,North,Service,Medium,WH99,Elec,EndOL
REF-78427,55,34,118,5,13,Item_Desc_795,B906,Closed,South,Finished,High,WH99,Elec,Mature
REF-16896,76,32,222,2,33,Item_Desc_631,B536,Active,South,Service,Medium,WH01,Chem,EndOL
REF-16649,53,43,212,10,92,Item_Desc_487,B618,Active,South,Service,High,WH03,Mech,New
REF-85267,92,35,183,13,83,Item_Desc_89,B538,Closed,West,Finished,High,WH03,Elec,New
REF-50174,31,31,148,2,10,Item_Desc_861,B611,Hold,North,Raw,High,WH01,Elec,EndOL
REF-56475,25,32,374,14,63,Item_Desc_466,B933,Closed,West,Service,High,WH03,Mech,EndOL
REF-49944,70,41,318,17,87,Item_Desc_283,B650,Closed,South,Service,Low,WH01,Elec,Mature
REF-41083,31,26,157,13,19,Item_Desc_348,B698,Closed,North,Service,Medium,WH99,Mech,Mature
REF-34695,44,50,67,19,19,Item_Desc_178,B678,Hold,North,Service,Medium,WH02,Chem,EndOL
REF-18255,44,42,101,11,79,Item_Desc_644,B268,Hold,West,Finished,High,WH02,Chem,New
REF-75995,18,12,394,3,70,Item_Desc_246,B239,Active,West,Raw,Low,WH02,Elec,New
REF-91049,62,24,379,10,65,Item_Desc_539,B416,Closed,North,Finished,Low,WH02,Mech,EndOL
REF-56209,1,10,57,4,8,Item_Desc_530,B543,Hold,South,Service,High,WH03,Elec,New
REF-46298,47,38,220,19,100,Item_Desc_417,B108,Closed,North,Service,High,WH02,Mech,Mature
REF-88330,37,25,411,10,46,Item_Desc_145,B504,Closed,South,Finished,High,WH99,Chem,Mature
REF-37557,88,13,188,8,33,Item_Desc_979,B158,Active,North,Service,Medium,WH01,Elec,EndOL
REF-86109,98,50,50,5,94,Item_Desc_282,B696,Hold,South,Finished,Medium,WH02,Elec,Mature
REF-74178,4,19,421,2,15,Item_Desc_94,B500,Active,South,Finished,Medium,WH01,Mech,Mature
REF-17962,24,36,364,18,43,Item_Desc_755,B244,Active,North,Service,Medium,WH02,Elec,New
REF-18815,4,39,134,13,14,Item_Desc_437,B576,Active,South,Service,Low,WH02,Elec,New
REF-13707,57,26,398,1,54,Item_Desc_173,B273,Active,West,Finished,Medium,WH01,Mech,EndOL
REF-48967,32,39,252,3,54,Item_Desc_744,B164,Closed,North,Service,Medium,WH99,Chem,New
REF-32648,3,10,415,14,20,Item_Desc_422,B192,Hold,North,Service,Low,WH01,Chem,New
REF-56652,57,49,200,19,34,Item_Desc_848,B162,Hold,South,Finished,Medium,WH03,Chem,EndOL
REF-17879,54,41,350,20,72,Item_Desc_40,B139,Closed,West,Service,High,WH02,Chem,Mature
REF-41915,65,46,207,0,95,Item_Desc_188,B503,Hold,South,Service,Low,WH02,Elec,New
REF-72860,72,15,170,3,32,Item_Desc_889,B800,Closed,West,Service,Medium,WH03,Chem,Mature
REF-20311,60,24,437,18,15,Item_Desc_545,B484,Hold,West,Raw,Medium,WH03,Mech,Mature
REF-62554,10,41,436,4,62,Item_Desc_364,B459,Active,South,Raw,Low,WH02,Elec,Mature
REF-17661,4,44,384,18,19,Item_Desc_82,B395,Closed,South,Raw,Low,WH02,Mech,EndOL
REF-45159,59,38,286,10,79,Item_Desc_719,B934,Active,North,Raw,Medium,WH99,Mech,Mature
REF-88226,50,38,120,8,28,Item_Desc_140,B384,Closed,North,Raw,Low,WH01,Elec,EndOL
REF-22772,47,35,416,5,7,Item_Desc_828,B441,Hold,South,Service,Medium,WH01,Mech,EndOL
REF-52569,91,27,328,12,43,Item_Desc_775,B948,Closed,West,Raw,Low,WH01,Elec,EndOL
REF-29596,52,26,444,6,61,Item_Desc_254,B751,Closed,South,Service,Low,WH01,Elec,Mature
REF-42230,97,27,199,5,64,Item_Desc_887,B112,Active,South,Finished,Medium,WH01,Chem,Mature
REF-22599,23,44,172,2,54,Item_Desc_412,B923,Closed,North,Finished,High,WH99,Mech,New
REF-11903,8,28,475,11,91,Item_Desc_936,B496,Closed,South,Finished,High,WH02,Mech,Mature
REF-88988,84,27,231,13,16,Item_Desc_425,B675,Closed,West,Finished,Medium,WH02,Chem,EndOL
REF-41113,77,23,447,5,100,Item_Desc_168,B668,Closed,North,Finished,High,WH02,Mech,New
REF-27399,32,49,100,7,94,Item_Desc_958,B693,Closed,South,Raw,High,WH01,Elec,EndOL
REF-48587,57,29,84,2,94,Item_Desc_872,B707,Active,North,Service,Medium,WH03,Mech,New
REF-69724,43,30,491,6,100,Item_Desc_68,B370,Active,West,Raw,High,WH99,Mech,EndOL
REF-30334,55,30,253,12,57,Item_Desc_357,B932,Closed,West,Service,High,WH02,Mech,New
REF-54356,49,44,393,13,76,Item_Desc_984,B253,Hold,West,Service,Medium,WH01,Elec,New
REF-27942,34,30,465,14,22,Item_Desc_191,B616,Closed,West,Finished,High,WH01,Mech,EndOL
REF-48626,16,44,498,19,33,Item_Desc_560,B396,Hold,South,Service,Low,WH99,Chem,EndOL
REF-53990,58,21,126,14,64,Item_Desc_904,B986,Hold,West,Service,Low,WH99,Chem,EndOL
REF-77559,14,47,400,10,24,Item_Desc_38,B440,Closed,South,Raw,High,WH03,Elec,Mature
REF-27711,87,25,182,0,10,Item_Desc_456,B635,Closed,North,Finished,Low,WH03,Chem,Mature
REF-90402,24,46,335,15,45,Item_Desc_602,B487,Closed,West,Finished,Low,WH02,Chem,Mature
REF-66891,82,30,468,9,44,Item_Desc_75,B525,Active,South,Raw,High,WH02,Chem,New
REF-86575,63,41,339,16,45,Item_Desc_435,B504,Hold,North,Finished,Medium,WH01,Mech,Mature
REF-49352,73,13,334,2,48,Item_Desc_979,B504,Closed,North,Finished,Low,WH03,Elec,EndOL
REF-30322,48,15,76,10,69,Item_Desc_92,B662,Closed,West,Raw,Low,WH02,Elec,New
REF-87877,22,27,145,6,63,Item_Desc_791,B201,Active,North,Raw,High,WH99,Chem,Mature
REF-63780,16,31,319,5,56,Item_Desc_549,B829,Hold,North,Finished,High,WH02,Mech,EndOL
REF-51447,41,33,84,2,67,Item_Desc_519,B300,Closed,West,Raw,Medium,WH03,Mech,New
REF-43804,74,47,177,20,84,Item_Desc_286,B601,Closed,West,Service,High,WH01,Chem,New
REF-40629,83,31,110,3,15,Item_Desc_163,B797,Active,South,Service,Medium,WH01,Chem,New
REF-34909,82,34,380,15,21,Item_Desc_805,B641,Active,North,Finished,High,WH02,Mech,New
REF-56569,60,41,332,1,35,Item_Desc_500,B921,Active,North,Finished,Low,WH02,Mech,New
REF-15505,46,13,439,7,19,Item_Desc_812,B659,Active,West,Finished,High,WH99,Elec,EndOL
REF-37040,47,29,262,18,14,Item_Desc_824,B384,Closed,North,Raw,Low,WH03,Mech,EndOL
REF-66620,55,19,349,13,11,Item_Desc_982,B745,Hold,South,Service,Medium,WH03,Chem,Mature
REF-38843,50,42,429,6,67,Item_Desc_559,B186,Closed,North,Finished,High,WH01,Elec,Mature
REF-93591,71,25,477,11,78,Item_Desc_478,B509,Active,South,Raw,High,WH01,Chem,EndOL
REF-19310,82,21,173,18,69,Item_Desc_747,B846,Active,West,Service,Medium,WH01,Elec,EndOL
REF-13220,63,19,489,19,60,Item_Desc_65,B952,Active,North,Service,Low,WH01,Elec,EndOL
REF-10346,1,40,87,12,48,Item_Desc_34,B301,Active,North,Raw,High,WH02,Chem,Mature
REF-48480,85,10,302,3,37,Item_Desc_957,B833,Closed,South,Finished,Medium,WH01,Mech,EndOL
REF-64513,73,38,497,16,73,Item_Desc_407,B235,Closed,North,Finished,High,WH02,Elec,New
REF-54859,6,35,370,16,21,Item_Desc_687,B413,Hold,West,Service,Low,WH99,Chem,EndOL
REF-48346,92,24,75,9,88,Item_Desc_881,B523,Closed,South,Raw,Medium,WH02,Mech,New
REF-17949,61,25,443,17,7,Item_Desc_940,B630,Closed,South,Service,Low,WH99,Mech,EndOL
REF-63519,40,42,236,7,54,Item_Desc_340,B680,Closed,West,Raw,Low,WH01,Elec,New
REF-75313,100,11,143,14,93,Item_Desc_115,B101,Closed,South,Service,High,WH02,Mech,EndOL
REF-77553,96,39,53,13,92,Item_Desc_509,B117,Hold,West,Service,Low,WH02,Elec,New
REF-98721,2,15,427,12,67,Item_Desc_910,B600,Hold,West,Raw,High,WH01,Elec,Mature
REF-95755,100,40,404,0,59,Item_Desc_197,B459,Active,West,Finished,Medium,WH02,Chem,EndOL
REF-30421,97,47,437,12,88,Item_Desc_362,B578,Closed,North,Service,Low,WH01,Mech,Mature
REF-71209,53,19,344,19,73,Item_Desc_513,B407,Closed,West,Raw,Low,WH01,Chem,EndOL
REF-44810,16,38,177,0,58,Item_Desc_306,B369,Active,North,Raw,Low,WH03,Mech,New
REF-89395,5,30,156,2,34,Item_Desc_40,B439,Hold,North,Raw,Medium,WH02,Mech,Mature
REF-56678,78,28,86,13,25,Item_Desc_306,B520,Hold,South,Service,Medium,WH02,Mech,EndOL
REF-58881,88,27,325,0,35,Item_Desc_932,B269,Hold,South,Service,Low,WH01,Elec,EndOL
REF-78964,30,46,480,1,44,Item_Desc_829,B590,Hold,North,Service,High,WH02,Mech,New
REF-47647,97,45,401,9,11,Item_Desc_852,B431,Hold,South,Finished,High,WH02,Chem,New
REF-26011,25,35,263,0,40,Item_Desc_550,B284,Hold,North,Finished,High,WH01,Elec,EndOL
REF-46790,29,24,282,19,21,Item_Desc_41,B486,Closed,West,Service,Medium,WH03,Elec,New
REF-98024,24,41,72,19,89,Item_Desc_805,B304,Active,South,Service,Medium,WH02,Chem,Mature
REF-54211,30,30,254,0,57,Item_Desc_982,B486,Active,West,Finished,Low,WH01,Elec,New
REF-36509,54,23,127,6,23,Item_Desc_505,B997,Closed,West,Service,High,WH02,Mech,EndOL
REF-38766,38,27,434,2,20,Item_Desc_93,B869,Active,South,Raw,Medium,WH01,Chem,EndOL
REF-51752,11,30,305,3,24,Item_Desc_470,B705,Closed,West,Raw,Medium,WH01,Mech,Mature
REF-73663,63,43,459,8,41,Item_Desc_414,B981,Closed,North,Raw,High,WH03,Chem,New
REF-92453,92,25,500,18,87,Item_Desc_126,B759,Closed,South,Service,High,WH02,Mech,New
REF-22161,14,32,182,15,65,Item_Desc_354,B893,Closed,South,Raw,High,WH03,Elec,New
REF-96028,20,37,217,20,15,Item_Desc_823,B647,Closed,North,Finished,Medium,WH01,Mech,EndOL
REF-50180,28,46,384,9,42,Item_Desc_464,B741,Active,North,Finished,Medium,WH03,Mech,Mature
REF-68759,82,24,447,12,80,Item_Desc_324,B285,Hold,West,Finished,Low,WH99,Chem,EndOL
REF-41037,98,17,144,2,8,Item_Desc_214,B389,Hold,North,Service,High,WH02,Chem,Mature
REF-78127,43,18,53,8,36,Item_Desc_356,B450,Active,South,Raw,Medium,WH01,Elec,New
REF-56157,97,38,366,1,31,Item_Desc_745,B905,Hold,West,Raw,Medium,WH99,Elec,New
REF-34709,47,12,58,15,70,Item_Desc_694,B832,Hold,North,Finished,Medium,WH03,Mech,Mature
REF-36931,61,14,276,9,39,Item_Desc_382,B574,Active,North,Raw,High,WH01,Chem,New
REF-11204,53,22,127,14,58,Item_Desc_279,B696,Closed,West,Raw,High,WH01,Elec,Mature
REF-55530,93,41,416,18,6,Item_Desc_973,B932,Hold,West,Raw,High,WH03,Mech,New
REF-91172,7,26,325,9,7,Item_Desc_760,B803,Active,West,Service,Medium,WH03,Elec,Mature
REF-62614,19,11,204,8,24,Item_Desc_777,B928,Closed,West,Service,High,WH01,Chem,EndOL
REF-31384,42,11,218,6,58,Item_Desc_323,B243,Hold,West,Finished,High,WH99,Elec,Mature
REF-58721,84,38,468,12,54,Item_Desc_328,B416,Closed,South,Finished,Medium,WH99,Chem,Mature
REF-18007,20,17,255,4,24,Item_Desc_207,B269,Hold,North,Service,Low,WH03,Mech,EndOL
REF-97653,70,46,294,6,47,Item_Desc_586,B806,Active,West,Finished,High,WH01,Chem,EndOL
REF-19620,44,42,120,5,88,Item_Desc_968,B344,Active,South,Raw,Medium,WH01,Mech,Mature
REF-22523,4,43,482,1,51,Item_Desc_617,B654,Active,South,Finished,High,WH99,Elec,New
REF-86437,12,30,62,18,10,Item_Desc_285,B343,Hold,South,Finished,Medium,WH02,Chem,New
REF-98585,61,20,168,11,16,Item_Desc_70,B227,Active,West,Raw,High,WH99,Mech,EndOL
REF-53631,43,14,498,7,9,Item_Desc_180,B702,Active,South,Service,High,WH03,Chem,EndOL
REF-46718,100,43,235,12,47,Item_Desc_756,B119,Active,North,Service,Medium,WH02,Chem,EndOL
REF-75259,90,38,160,18,40,Item_Desc_164,B379,Active,West,Service,Medium,WH03,Elec,New
REF-64035,40,26,234,17,28,Item_Desc_505,B608,Hold,West,Finished,High,WH99,Chem,New
REF-95304,89,10,283,3,42,Item_Desc_512,B676,Hold,South,Raw,Medium,WH01,Elec,Mature
REF-67422,6,23,101,6,40,Item_Desc_554,B903,Active,West,Raw,Low,WH99,Chem,Mature
REF-36626,8,26,377,20,37,Item_Desc_481,B592,Closed,West,Raw,Low,WH99,Chem,EndOL
REF-97104,83,27,125,5,56,Item_Desc_504,B346,Hold,North,Finished,Medium,WH02,Chem,Mature
REF-47027,69,14,148,13,85,Item_Desc_472,B506,Hold,South,Raw,Low,WH02,Mech,New
REF-59767,3,48,142,2,38,Item_Desc_832,B624,Closed,North,Service,Low,WH99,Chem,New
REF-10642,28,16,52,6,22,Item_Desc_912,B755,Active,West,Raw,Medium,WH03,Chem,New
REF-33786,57,17,161,8,65,Item_Desc_67,B893,Hold,West,Finished,Medium,WH01,Elec,Mature
REF-55087,15,11,272,4,61,Item_Desc_747,B648,Active,South,Finished,Low,WH99,Elec,New
REF-85861,40,47,319,8,93,Item_Desc_609,B528,Closed,North,Raw,High,WH01,Chem,Mature
REF-31768,7,48,190,7,34,Item_Desc_661,B863,Closed,North,Service,High,WH02,Elec,New
REF-30400,92,27,363,5,35,Item_Desc_294,B301,Closed,North,Finished,Medium,WH01,Chem,New
REF-19015,98,12,328,7,85,Item_Desc_973,B366,Closed,South,Service,Medium,WH99,Mech,Mature
REF-18993,59,43,438,8,77,Item_Desc_337,B264,Active,South,Finished,High,WH03,Chem,EndOL
REF-42498,72,46,395,20,31,Item_Desc_900,B714,Hold,South,Service,High,WH02,Elec,New
REF-65804,24,17,191,0,49,Item_Desc_451,B109,Active,South,Finished,High,WH01,Chem,Mature
REF-37984,39,17,130,20,96,Item_Desc_770,B668,Closed,West,Finished,Medium,WH99,Mech,Mature
REF-38659,50,23,76,20,73,Item_Desc_333,B951,Hold,North,Service,Medium,WH02,Elec,EndOL
REF-11027,89,48,159,16,13,Item_Desc_667,B979,Hold,South,Raw,High,WH99,Elec,Mature
REF-88023,99,24,464,3,40,Item_Desc_40,B969,Active,South,Service,High,WH99,Chem,EndOL
REF-88485,30,45,222,5,80,Item_Desc_364,B402,Closed,South,Finished,Low,WH01,Elec,New
REF-33390,9,45,294,2,64,Item_Desc_828,B439,Active,North,Finished,High,WH99,Mech,New
REF-66901,80,44,177,3,95,Item_Desc_378,B564,Active,West,Service,Low,WH99,Elec,Mature
REF-59983,68,46,187,9,48,Item_Desc_100,B592,Closed,North,Service,Medium,WH01,Elec,Mature
REF-30673,89,14,79,15,35,Item_Desc_8,B237,Hold,North,Raw,Low,WH03,Elec,EndOL
REF-26947,96,48,484,5,11,Item_Desc_767,B537,Hold,South,Finished,Medium,WH99,Mech,Mature
REF-42562,96,30,285,16,27,Item_Desc_130,B566,Hold,West,Raw,Medium,WH03,Chem,New
REF-92182,19,38,135,4,59,Item_Desc_348,B381,Closed,North,Raw,High,WH01,Elec,Mature
REF-10926,47,33,155,17,44,Item_Desc_975,B445,Hold,West,Finished,High,WH02,Mech,Mature
REF-69383,15,27,263,1,28,Item_Desc_685,B961,Hold,South,Raw,Medium,WH03,Chem,Mature
REF-54431,75,24,302,1,76,Item_Desc_969,B461,Hold,North,Raw,Medium,WH02,Chem,New
REF-30410,41,25,348,11,37,Item_Desc_841,B865,Active,South,Service,Low,WH01,Mech,Mature
REF-91041,92,30,372,15,65,Item_Desc_425,B664,Active,North,Service,Medium,WH03,Chem,Mature
REF-73226,77,39,86,15,19,Item_Desc_204,B992,Hold,South,Service,Medium,WH01,Chem,EndOL
REF-79375,85,37,495,4,92,Item_Desc_452,B745,Hold,West,Raw,Medium,WH03,Elec,Mature
REF-23879,55,46,499,6,45,Item_Desc_29,B265,Hold,South,Raw,High,WH99,Chem,Mature
REF-95386,9,31,100,18,71,Item_Desc_56,B143,Active,South,Service,Medium,WH03,Elec,Mature
REF-87088,26,27,61,16,23,Item_Desc_900,B647,Hold,South,Raw,Low,WH03,Mech,EndOL
REF-79329,73,50,416,10,74,Item_Desc_540,B780,Active,West,Service,Medium,WH03,Chem,EndOL
REF-18325,62,12,145,10,15,Item_Desc_969,B381,Closed,South,Raw,Medium,WH02,Elec,New
REF-19169,30,23,117,2,86,Item_Desc_356,B530,Hold,South,Service,Low,WH02,Mech,EndOL
REF-80956,50,47,285,19,59,Item_Desc_598,B304,Active,South,Raw,High,WH03,Chem,New
REF-40369,42,31,136,4,41,Item_Desc_557,B632,Active,West,Raw,High,WH99,Mech,New
REF-76648,24,46,256,5,60,Item_Desc_35,B861,Closed,West,Service,Low,WH03,Elec,Mature
REF-73041,43,14,421,14,16,Item_Desc_757,B419,Hold,West,Finished,Medium,WH99,Chem,Mature
REF-89378,79,48,81,20,22,Item_Desc_915,B825,Hold,West,Finished,High,WH99,Mech,New
REF-61521,96,44,386,2,52,Item_Desc_762,B270,Active,West,Service,Medium,WH02,Mech,Mature
REF-30951,35,21,214,18,58,Item_Desc_497,B110,Closed,West,Service,Low,WH03,Chem,New
REF-75339,54,31,302,5,19,Item_Desc_350,B259,Closed,South,Raw,High,WH03,Elec,EndOL
